signal_date,entry_date,exit_date,entry_price,exit_price,target_price,stop_price,outcome,pnl_pct
2021-07-15,2021-07-16,2021-07-16,80100.0,79800.0,81702.0,79299.0,HOLD,-0.37
2021-07-22,2021-07-23,2021-07-23,79700.0,79300.0,81294.0,78903.0,HOLD,-0.5
2021-08-02,2021-08-03,2021-08-03,79400.0,80988.0,80988.0,78606.0,WIN,2.0
2021-08-03,2021-08-04,2021-08-04,82200.0,82900.0,83844.0,81378.0,HOLD,0.85
2021-08-04,2021-08-05,2021-08-05,83300.0,82467.0,84966.0,82467.0,LOSS,-1.0
2021-08-24,2021-08-25,2021-08-25,76200.0,75438.0,77724.0,75438.0,LOSS,-1.0
2021-08-31,2021-09-01,2021-09-01,76700.0,75933.0,78234.0,75933.0,LOSS,-1.0
2021-09-13,2021-09-14,2021-09-14,77100.0,76600.0,78642.0,76329.0,HOLD,-0.65
2021-09-17,2021-09-23,2021-09-23,77500.0,77400.0,79050.0,76725.0,HOLD,-0.13
2021-10-15,2021-10-18,2021-10-18,70200.0,69498.0,71604.0,69498.0,LOSS,-1.0
2021-10-26,2021-10-27,2021-10-27,71000.0,70290.0,72420.0,70290.0,LOSS,-1.0
2021-11-02,2021-11-03,2021-11-03,71700.0,70983.0,73134.0,70983.0,LOSS,-1.0
2021-11-12,2021-11-15,2021-11-15,71700.0,70983.0,73134.0,70983.0,LOSS,-1.0
2021-11-15,2021-11-16,2021-11-16,71500.0,71300.0,72930.0,70785.0,HOLD,-0.28
2021-11-19,2021-11-22,2021-11-22,73300.0,74766.0,74766.0,72567.0,WIN,2.0
2021-11-22,2021-11-23,2021-11-23,76000.0,75240.0,77520.0,75240.0,LOSS,-1.0
2021-12-01,2021-12-02,2021-12-02,73900.0,75378.0,75378.0,73161.0,WIN,2.0
2021-12-02,2021-12-03,2021-12-03,75600.0,74844.0,77112.0,74844.0,LOSS,-1.0
2021-12-07,2021-12-08,2021-12-08,78300.0,77517.0,79866.0,77517.0,LOSS,-1.0
2021-12-09,2021-12-10,2021-12-10,77400.0,76900.0,78948.0,76626.0,HOLD,-0.65
2021-12-21,2021-12-22,2021-12-22,78900.0,79400.0,80478.0,78111.0,HOLD,0.63
2021-12-22,2021-12-23,2021-12-23,79800.0,79900.0,81396.0,79002.0,HOLD,0.13
2022-01-07,2022-01-10,2022-01-10,78100.0,77319.0,79662.0,77319.0,LOSS,-1.0
2022-01-11,2022-01-12,2022-01-12,79500.0,78705.0,81090.0,78705.0,LOSS,-1.0
2022-01-28,2022-02-03,2022-02-03,74900.0,74151.0,76398.0,74151.0,LOSS,-1.0
2022-02-10,2022-02-11,2022-02-11,75000.0,74900.0,76500.0,74250.0,HOLD,-0.13
2022-02-16,2022-02-17,2022-02-17,75000.0,75000.0,76500.0,74250.0,HOLD,0.0
2022-03-03,2022-03-04,2022-03-04,72900.0,72900.0,74358.0,72171.0,HOLD,0.0
2022-04-13,2022-04-14,2022-04-14,68700.0,68013.0,70074.0,68013.0,LOSS,-1.0
2022-04-29,2022-05-02,2022-05-02,66600.0,67300.0,67932.0,65934.0,HOLD,1.05
2022-05-13,2022-05-16,2022-05-16,67100.0,66429.0,68442.0,66429.0,LOSS,-1.0
2022-05-17,2022-05-18,2022-05-18,68300.0,67617.0,69666.0,67617.0,LOSS,-1.0
2022-05-30,2022-05-31,2022-05-31,67500.0,66825.0,68850.0,66825.0,LOSS,-1.0
2022-06-24,2022-06-27,2022-06-27,59000.0,58410.0,60180.0,58410.0,LOSS,-1.0
2022-06-28,2022-06-29,2022-06-29,58500.0,58000.0,59670.0,57915.0,HOLD,-0.85
2022-07-04,2022-07-05,2022-07-05,57600.0,57200.0,58752.0,57024.0,HOLD,-0.69
2022-07-07,2022-07-08,2022-07-08,58600.0,58700.0,59772.0,58014.0,HOLD,0.17
2022-07-15,2022-07-18,2022-07-18,60600.0,61812.0,61812.0,59994.0,WIN,2.0
2022-07-18,2022-07-19,2022-07-19,61400.0,60786.0,62628.0,60786.0,LOSS,-1.0
2022-07-21,2022-07-22,2022-07-22,61800.0,61300.0,63036.0,61182.0,HOLD,-0.81
2022-08-11,2022-08-12,2022-08-12,59500.0,60690.0,60690.0,58905.0,WIN,2.0
2022-08-16,2022-08-17,2022-08-17,61100.0,60489.0,62322.0,60489.0,LOSS,-1.0
2022-08-18,2022-08-19,2022-08-19,61400.0,60786.0,62628.0,60786.0,LOSS,-1.0
2022-08-25,2022-08-26,2022-08-26,60300.0,60000.0,61506.0,59697.0,HOLD,-0.5
2022-08-31,2022-09-01,2022-09-01,58700.0,58400.0,59874.0,58113.0,HOLD,-0.51
2022-09-13,2022-09-14,2022-09-14,56200.0,56800.0,57324.0,55638.0,HOLD,1.07
2022-10-04,2022-10-05,2022-10-05,56900.0,56331.0,58038.0,56331.0,LOSS,-1.0
2022-10-05,2022-10-06,2022-10-06,56700.0,56300.0,57834.0,56133.0,HOLD,-0.71
2022-10-14,2022-10-17,2022-10-17,55800.0,56916.0,56916.0,55242.0,WIN,2.0
2022-10-24,2022-10-25,2022-10-25,57000.0,58140.0,58140.0,56430.0,WIN,2.0
2022-10-26,2022-10-27,2022-10-27,59700.0,59103.0,60894.0,59103.0,LOSS,-1.0
2022-10-31,2022-11-01,2022-11-01,59900.0,60000.0,61098.0,59301.0,HOLD,0.17
2022-11-01,2022-11-02,2022-11-02,59700.0,59600.0,60894.0,59103.0,HOLD,-0.17
2022-11-07,2022-11-08,2022-11-08,60500.0,61710.0,61710.0,59895.0,WIN,2.0
2022-11-08,2022-11-09,2022-11-09,62000.0,61380.0,63240.0,61380.0,LOSS,-1.0
2022-11-11,2022-11-14,2022-11-14,62900.0,62271.0,64158.0,62271.0,LOSS,-1.0
2022-11-30,2022-12-01,2022-12-01,63100.0,62469.0,64362.0,62469.0,LOSS,-1.0
2022-12-09,2022-12-12,2022-12-12,59900.0,59500.0,61098.0,59301.0,HOLD,-0.67
2022-12-14,2022-12-15,2022-12-15,59800.0,59300.0,60996.0,59202.0,HOLD,-0.84
2022-12-22,2022-12-23,2022-12-23,58200.0,58100.0,59364.0,57618.0,HOLD,-0.17
2023-01-04,2023-01-05,2023-01-05,58200.0,57618.0,59364.0,57618.0,LOSS,-1.0
2023-01-06,2023-01-09,2023-01-09,59700.0,60700.0,60894.0,59103.0,HOLD,1.68
2023-01-09,2023-01-10,2023-01-10,60200.0,60400.0,61404.0,59598.0,HOLD,0.33
2023-01-19,2023-01-20,2023-01-20,62100.0,61479.0,63342.0,61479.0,LOSS,-1.0
2023-01-25,2023-01-26,2023-01-26,63800.0,63800.0,65076.0,63162.0,HOLD,0.0
2023-01-27,2023-01-30,2023-01-30,64900.0,64251.0,66198.0,64251.0,LOSS,-1.0
2023-02-02,2023-02-03,2023-02-03,63900.0,63261.0,65178.0,63261.0,LOSS,-1.0
2023-02-08,2023-02-09,2023-02-09,63000.0,62370.0,64260.0,62370.0,LOSS,-1.0
2023-02-16,2023-02-17,2023-02-17,62900.0,62600.0,64158.0,62271.0,HOLD,-0.48
2023-02-23,2023-02-24,2023-02-24,62300.0,61677.0,63546.0,61677.0,LOSS,-1.0
2023-03-06,2023-03-07,2023-03-07,61400.0,60786.0,62628.0,60786.0,LOSS,-1.0
2023-03-15,2023-03-16,2023-03-16,59200.0,59900.0,60384.0,58608.0,HOLD,1.18
2023-03-17,2023-03-20,2023-03-20,61100.0,60489.0,62322.0,60489.0,LOSS,-1.0
2023-03-22,2023-03-23,2023-03-23,60600.0,61812.0,61812.0,59994.0,WIN,2.0
2023-03-23,2023-03-24,2023-03-24,62700.0,63000.0,63954.0,62073.0,HOLD,0.48
2023-03-24,2023-03-27,2023-03-27,62600.0,62100.0,63852.0,61974.0,HOLD,-0.8
2023-03-28,2023-03-29,2023-03-29,62500.0,62700.0,63750.0,61875.0,HOLD,0.32
2023-03-31,2023-04-03,2023-04-03,64000.0,63360.0,65280.0,63360.0,LOSS,-1.0
2023-04-07,2023-04-10,2023-04-10,64800.0,66096.0,66096.0,64152.0,WIN,2.0
2023-04-10,2023-04-11,2023-04-11,66200.0,65538.0,67524.0,65538.0,LOSS,-1.0
2023-04-28,2023-05-02,2023-05-02,66000.0,65340.0,67320.0,65340.0,LOSS,-1.0
2023-05-08,2023-05-09,2023-05-09,65800.0,65142.0,67116.0,65142.0,LOSS,-1.0
2023-05-16,2023-05-17,2023-05-17,65900.0,65241.0,67218.0,65241.0,LOSS,-1.0
2023-05-18,2023-05-19,2023-05-19,67800.0,68400.0,69156.0,67122.0,HOLD,0.88
2023-05-19,2023-05-22,2023-05-22,68400.0,68500.0,69768.0,67716.0,HOLD,0.15
2023-05-26,2023-05-30,2023-05-30,71300.0,72300.0,72726.0,70587.0,HOLD,1.4
2023-05-30,2023-05-31,2023-05-31,72400.0,71676.0,73848.0,71676.0,LOSS,-1.0
2023-06-02,2023-06-05,2023-06-05,72700.0,71973.0,74154.0,71973.0,LOSS,-1.0
2023-06-09,2023-06-12,2023-06-12,72100.0,71379.0,73542.0,71379.0,LOSS,-1.0
2023-06-13,2023-06-14,2023-06-14,72100.0,71379.0,73542.0,71379.0,LOSS,-1.0
2023-06-22,2023-06-23,2023-06-23,72000.0,71600.0,73440.0,71280.0,HOLD,-0.56
2023-06-26,2023-06-27,2023-06-27,72500.0,72600.0,73950.0,71775.0,HOLD,0.14
2023-07-03,2023-07-04,2023-07-04,73400.0,73000.0,74868.0,72666.0,HOLD,-0.54
2023-07-11,2023-07-12,2023-07-12,71200.0,71900.0,72624.0,70488.0,HOLD,0.98
2023-07-14,2023-07-17,2023-07-17,73200.0,73300.0,74664.0,72468.0,HOLD,0.14
2023-07-27,2023-07-28,2023-07-28,71800.0,71082.0,73236.0,71082.0,LOSS,-1.0
2023-08-01,2023-08-02,2023-08-02,70700.0,69993.0,72114.0,69993.0,LOSS,-1.0
2023-08-09,2023-08-10,2023-08-10,68300.0,68000.0,69666.0,67617.0,HOLD,-0.44
2023-08-24,2023-08-25,2023-08-25,67100.0,67100.0,68442.0,66429.0,HOLD,0.0
2023-09-01,2023-09-04,2023-09-04,72900.0,72171.0,74358.0,72171.0,LOSS,-1.0
2023-09-14,2023-09-15,2023-09-15,71700.0,72000.0,73134.0,70983.0,HOLD,0.42
2023-10-11,2023-10-12,2023-10-12,68600.0,68900.0,69972.0,67914.0,HOLD,0.44
2023-10-12,2023-10-13,2023-10-13,68000.0,68000.0,69360.0,67320.0,HOLD,0.0
2023-10-17,2023-10-18,2023-10-18,68900.0,70278.0,70278.0,68211.0,WIN,2.0
2023-10-18,2023-10-19,2023-10-19,69700.0,69500.0,71094.0,69003.0,HOLD,-0.29
2023-11-01,2023-11-02,2023-11-02,70000.0,69700.0,71400.0,69300.0,HOLD,-0.43
2023-11-02,2023-11-03,2023-11-03,69700.0,69600.0,71094.0,69003.0,HOLD,-0.14
2023-11-06,2023-11-07,2023-11-07,70600.0,70900.0,72012.0,69894.0,HOLD,0.42
2023-11-15,2023-11-16,2023-11-16,72500.0,72800.0,73950.0,71775.0,HOLD,0.41
2023-11-28,2023-11-29,2023-11-29,72400.0,72700.0,73848.0,71676.0,HOLD,0.41
2023-12-08,2023-12-11,2023-12-11,72800.0,73000.0,74256.0,72072.0,HOLD,0.27
2023-12-20,2023-12-21,2023-12-21,74600.0,75000.0,76092.0,73854.0,HOLD,0.54
2023-12-22,2023-12-26,2023-12-26,76100.0,76600.0,77622.0,75339.0,HOLD,0.66
2023-12-27,2023-12-28,2023-12-28,77700.0,78500.0,79254.0,76923.0,HOLD,1.03
2024-01-02,2024-01-03,2024-01-03,78500.0,77715.0,80070.0,77715.0,LOSS,-1.0
2024-01-15,2024-01-16,2024-01-16,73500.0,72765.0,74970.0,72765.0,LOSS,-1.0
2024-01-19,2024-01-22,2024-01-22,75900.0,75141.0,77418.0,75141.0,LOSS,-1.0
2024-01-29,2024-01-30,2024-01-30,75000.0,74250.0,76500.0,74250.0,LOSS,-1.0
2024-02-01,2024-02-02,2024-02-02,74000.0,75200.0,75480.0,73260.0,HOLD,1.62
2024-02-02,2024-02-05,2024-02-05,74200.0,74300.0,75684.0,73458.0,HOLD,0.13
2024-02-13,2024-02-14,2024-02-14,73700.0,74000.0,75174.0,72963.0,HOLD,0.41
2024-02-19,2024-02-20,2024-02-20,73700.0,72963.0,75174.0,72963.0,LOSS,-1.0
2024-03-04,2024-03-05,2024-03-05,74600.0,73854.0,76092.0,73854.0,LOSS,-1.0
2024-03-08,2024-03-11,2024-03-11,72900.0,72400.0,74358.0,72171.0,HOLD,-0.69
2024-03-12,2024-03-13,2024-03-13,73700.0,74100.0,75174.0,72963.0,HOLD,0.54
2024-03-13,2024-03-14,2024-03-14,74400.0,73656.0,75888.0,73656.0,LOSS,-1.0
2024-03-20,2024-03-21,2024-03-21,79200.0,78408.0,80784.0,78408.0,LOSS,-1.0
2024-03-21,2024-03-22,2024-03-22,79600.0,78804.0,81192.0,78804.0,LOSS,-1.0
2024-03-26,2024-03-27,2024-03-27,79200.0,79800.0,80784.0,78408.0,HOLD,0.76
2024-03-28,2024-03-29,2024-03-29,81200.0,82400.0,82824.0,80388.0,HOLD,1.48
2024-03-29,2024-04-01,2024-04-01,83200.0,82368.0,84864.0,82368.0,LOSS,-1.0
2024-04-02,2024-04-03,2024-04-03,84300.0,84100.0,85986.0,83457.0,HOLD,-0.24
2024-04-04,2024-04-05,2024-04-05,84500.0,84500.0,86190.0,83655.0,HOLD,0.0
2024-04-24,2024-04-25,2024-04-25,77300.0,76527.0,78846.0,76527.0,LOSS,-1.0
2024-04-30,2024-05-02,2024-05-02,77600.0,78000.0,79152.0,76824.0,HOLD,0.52
2024-05-07,2024-05-08,2024-05-08,80800.0,81300.0,82416.0,79992.0,HOLD,0.62
2024-05-20,2024-05-21,2024-05-21,78500.0,78400.0,80070.0,77715.0,HOLD,-0.13
2024-05-27,2024-05-28,2024-05-28,76500.0,77600.0,78030.0,75735.0,HOLD,1.44
2024-06-03,2024-06-04,2024-06-04,74900.0,75300.0,76398.0,74151.0,HOLD,0.53
2024-06-05,2024-06-07,2024-06-07,78400.0,77616.0,79968.0,77616.0,LOSS,-1.0
2024-06-12,2024-06-13,2024-06-13,78400.0,78600.0,79968.0,77616.0,HOLD,0.26
2024-06-13,2024-06-14,2024-06-14,79700.0,79600.0,81294.0,78903.0,HOLD,-0.13
2024-06-14,2024-06-17,2024-06-17,79200.0,78408.0,80784.0,78408.0,LOSS,-1.0
2024-06-18,2024-06-19,2024-06-19,81100.0,81200.0,82722.0,80289.0,HOLD,0.12
2024-06-19,2024-06-20,2024-06-20,81500.0,81600.0,83130.0,80685.0,HOLD,0.12
2024-07-04,2024-07-05,2024-07-05,85600.0,87100.0,87312.0,84744.0,HOLD,1.75
2024-07-05,2024-07-08,2024-07-08,87900.0,87021.0,89658.0,87021.0,LOSS,-1.0
2024-07-15,2024-07-16,2024-07-16,86900.0,87700.0,88638.0,86031.0,HOLD,0.92
2024-07-16,2024-07-17,2024-07-17,87100.0,86700.0,88842.0,86229.0,HOLD,-0.46
2024-07-23,2024-07-24,2024-07-24,82900.0,82071.0,84558.0,82071.0,LOSS,-1.0
2024-07-31,2024-08-01,2024-08-01,86000.0,85140.0,87720.0,85140.0,LOSS,-1.0
2024-08-06,2024-08-07,2024-08-07,73000.0,74460.0,74460.0,72270.0,WIN,2.0
2024-08-07,2024-08-08,2024-08-08,73200.0,73400.0,74664.0,72468.0,HOLD,0.27
2024-08-09,2024-08-12,2024-08-12,75200.0,75500.0,76704.0,74448.0,HOLD,0.4
2024-08-12,2024-08-13,2024-08-13,76500.0,75735.0,78030.0,75735.0,LOSS,-1.0
2024-08-14,2024-08-16,2024-08-16,79400.0,80200.0,80988.0,78606.0,HOLD,1.01
2024-08-16,2024-08-19,2024-08-19,80100.0,79299.0,81702.0,79299.0,LOSS,-1.0
2024-09-12,2024-09-13,2024-09-13,65000.0,64350.0,66300.0,64350.0,LOSS,-1.0
2024-09-26,2024-09-27,2024-09-27,64700.0,64200.0,65994.0,64053.0,HOLD,-0.77
2024-10-15,2024-10-16,2024-10-16,59400.0,59500.0,60588.0,58806.0,HOLD,0.17
2024-10-23,2024-10-24,2024-10-24,58200.0,57618.0,59364.0,57618.0,LOSS,-1.0
2024-10-28,2024-10-29,2024-10-29,58000.0,59160.0,59160.0,57420.0,WIN,2.0
2024-10-29,2024-10-30,2024-10-30,59100.0,59100.0,60282.0,58509.0,HOLD,0.0
2024-11-15,2024-11-18,2024-11-18,57000.0,56430.0,58140.0,56430.0,LOSS,-1.0
2024-11-18,2024-11-19,2024-11-19,56500.0,55935.0,57630.0,55935.0,LOSS,-1.0
2024-11-21,2024-11-22,2024-11-22,56000.0,56000.0,57120.0,55440.0,HOLD,0.0
2024-11-25,2024-11-26,2024-11-26,57900.0,58300.0,59058.0,57321.0,HOLD,0.69
2024-12-05,2024-12-06,2024-12-06,53900.0,53361.0,54978.0,53361.0,LOSS,-1.0
2024-12-10,2024-12-11,2024-12-11,53600.0,54000.0,54672.0,53064.0,HOLD,0.75
2024-12-12,2024-12-13,2024-12-13,55800.0,56100.0,56916.0,55242.0,HOLD,0.54
2024-12-18,2024-12-19,2024-12-19,53500.0,53100.0,54570.0,52965.0,HOLD,-0.75
2024-12-24,2024-12-26,2024-12-26,54500.0,53955.0,55590.0,53955.0,LOSS,-1.0
2025-01-03,2025-01-06,2025-01-06,54400.0,55488.0,55488.0,53856.0,WIN,2.0
2025-01-06,2025-01-07,2025-01-07,56800.0,56232.0,57936.0,56232.0,LOSS,-1.0
2025-01-08,2025-01-09,2025-01-09,57600.0,57024.0,58752.0,57024.0,LOSS,-1.0
2025-01-16,2025-01-17,2025-01-17,53800.0,53262.0,54876.0,53262.0,LOSS,-1.0
2025-01-22,2025-01-23,2025-01-23,53700.0,53700.0,54774.0,53163.0,HOLD,0.0
2025-02-04,2025-02-05,2025-02-05,53600.0,53064.0,54672.0,53064.0,LOSS,-1.0
2025-02-06,2025-02-07,2025-02-07,53900.0,53700.0,54978.0,53361.0,HOLD,-0.37
2025-02-10,2025-02-11,2025-02-11,55500.0,55700.0,56610.0,54945.0,HOLD,0.36
2025-02-18,2025-02-19,2025-02-19,57400.0,58548.0,58548.0,56826.0,WIN,2.0
2025-02-19,2025-02-20,2025-02-20,59100.0,58509.0,60282.0,58509.0,LOSS,-1.0
2025-03-12,2025-03-13,2025-03-13,55800.0,55242.0,56916.0,55242.0,LOSS,-1.0
2025-03-17,2025-03-18,2025-03-18,58800.0,58212.0,59976.0,58212.0,LOSS,-1.0
2025-03-19,2025-03-20,2025-03-20,59200.0,58608.0,60384.0,58608.0,LOSS,-1.0
2025-03-20,2025-03-21,2025-03-21,60900.0,61700.0,62118.0,60291.0,HOLD,1.31
2025-03-21,2025-03-24,2025-03-24,61200.0,60588.0,62424.0,60588.0,LOSS,-1.0
2025-03-26,2025-03-27,2025-03-27,60900.0,61800.0,62118.0,60291.0,HOLD,1.48
2025-04-01,2025-04-02,2025-04-02,58800.0,58800.0,59976.0,58212.0,HOLD,0.0
2025-04-10,2025-04-11,2025-04-11,55600.0,55044.0,56712.0,55044.0,LOSS,-1.0
2025-04-14,2025-04-15,2025-04-15,56300.0,56600.0,57426.0,55737.0,HOLD,0.53
2025-04-23,2025-04-24,2025-04-24,55600.0,55700.0,56712.0,55044.0,HOLD,0.18
2025-05-12,2025-05-13,2025-05-13,57700.0,57123.0,58854.0,57123.0,LOSS,-1.0
2025-05-28,2025-05-29,2025-05-29,56200.0,55638.0,57324.0,55638.0,LOSS,-1.0
2025-06-02,2025-06-04,2025-06-04,57200.0,57800.0,58344.0,56628.0,HOLD,1.05
2025-06-04,2025-06-05,2025-06-05,58100.0,59262.0,59262.0,57519.0,WIN,2.0
2025-06-05,2025-06-09,2025-06-09,60400.0,59796.0,61608.0,59796.0,LOSS,-1.0
2025-06-09,2025-06-10,2025-06-10,60000.0,59400.0,61200.0,59400.0,LOSS,-1.0
2025-06-11,2025-06-12,2025-06-12,59700.0,59500.0,60894.0,59103.0,HOLD,-0.34
2025-06-17,2025-06-18,2025-06-18,58000.0,59160.0,59160.0,57420.0,WIN,2.0
2025-06-18,2025-06-19,2025-06-19,60500.0,59895.0,61710.0,59895.0,LOSS,-1.0
2025-06-24,2025-06-25,2025-06-25,61500.0,60885.0,62730.0,60885.0,LOSS,-1.0
2025-06-25,2025-06-26,2025-06-26,61300.0,60687.0,62526.0,60687.0,LOSS,-1.0
2025-07-03,2025-07-04,2025-07-04,64700.0,64053.0,65994.0,64053.0,LOSS,-1.0
2025-07-11,2025-07-14,2025-07-14,62300.0,62500.0,63546.0,61677.0,HOLD,0.32
2025-07-15,2025-07-16,2025-07-16,63700.0,64700.0,64974.0,63063.0,HOLD,1.57
2025-07-16,2025-07-17,2025-07-17,65900.0,65241.0,67218.0,65241.0,LOSS,-1.0
2025-07-17,2025-07-18,2025-07-18,67000.0,66330.0,68340.0,66330.0,LOSS,-1.0
2025-07-21,2025-07-22,2025-07-22,68100.0,67419.0,69462.0,67419.0,LOSS,-1.0
2025-07-28,2025-07-29,2025-07-29,70800.0,70092.0,72216.0,70092.0,LOSS,-1.0
2025-07-30,2025-07-31,2025-07-31,73000.0,72270.0,74460.0,72270.0,LOSS,-1.0
2025-08-04,2025-08-05,2025-08-05,71000.0,70290.0,72420.0,70290.0,LOSS,-1.0
2025-08-07,2025-08-08,2025-08-08,71000.0,71800.0,72420.0,70290.0,HOLD,1.13
2025-08-08,2025-08-11,2025-08-11,72000.0,71280.0,73440.0,71280.0,LOSS,-1.0
2025-08-13,2025-08-14,2025-08-14,71900.0,71600.0,73338.0,71181.0,HOLD,-0.42
2025-08-22,2025-08-25,2025-08-25,71700.0,71500.0,73134.0,70983.0,HOLD,-0.28
2025-09-02,2025-09-03,2025-09-03,69200.0,69800.0,70584.0,68508.0,HOLD,0.87
2025-09-03,2025-09-04,2025-09-04,69500.0,70100.0,70890.0,68805.0,HOLD,0.86
2025-09-09,2025-09-10,2025-09-10,71800.0,72600.0,73236.0,71082.0,HOLD,1.11
2025-09-10,2025-09-11,2025-09-11,73200.0,72468.0,74664.0,72468.0,LOSS,-1.0
2025-09-11,2025-09-12,2025-09-12,74600.0,75400.0,76092.0,73854.0,HOLD,1.07
2025-09-12,2025-09-15,2025-09-15,77200.0,76428.0,78744.0,76428.0,LOSS,-1.0
2025-09-15,2025-09-16,2025-09-16,76900.0,78438.0,78438.0,76131.0,WIN,2.0
2025-09-16,2025-09-17,2025-09-17,79100.0,78309.0,80682.0,78309.0,LOSS,-1.0
2025-09-18,2025-09-22,2025-09-22,81500.0,83130.0,83130.0,80685.0,WIN,2.0
2025-09-22,2025-09-23,2025-09-23,85800.0,84942.0,87516.0,84942.0,LOSS,-1.0
2025-09-23,2025-09-24,2025-09-24,84200.0,85400.0,85884.0,83358.0,HOLD,1.43
2025-09-29,2025-09-30,2025-09-30,84600.0,83754.0,86292.0,83754.0,LOSS,-1.0
2025-10-01,2025-10-02,2025-10-02,89300.0,89750.0,91086.0,88407.0,HOLD,0.5
2025-10-02,2025-10-10,2025-10-10,94000.0,93060.0,95880.0,93060.0,LOSS,-1.0
2025-10-10,2025-10-13,2025-10-13,91300.0,93126.0,93126.0,90387.0,WIN,2.0
2025-10-15,2025-10-16,2025-10-16,95300.0,97206.0,97206.0,94347.0,WIN,2.0
2025-10-16,2025-10-17,2025-10-17,97200.0,97900.0,99144.0,96228.0,HOLD,0.72
2025-10-22,2025-10-23,2025-10-23,96800.0,96500.0,98736.0,95832.0,HOLD,-0.31
2025-10-24,2025-10-27,2025-10-27,101300.0,102000.0,103326.0,100287.0,HOLD,0.69
2025-10-27,2025-10-28,2025-10-28,100900.0,99891.0,102918.0,99891.0,LOSS,-1.0
2025-10-29,2025-10-30,2025-10-30,102400.0,104448.0,104448.0,101376.0,WIN,2.0
2025-10-30,2025-10-31,2025-10-31,105000.0,107100.0,107100.0,103950.0,WIN,2.0
2025-10-31,2025-11-03,2025-11-03,106900.0,109038.0,109038.0,105831.0,WIN,2.0
2025-11-03,2025-11-04,2025-11-04,111800.0,110682.0,114036.0,110682.0,LOSS,-1.0
2025-11-10,2025-11-11,2025-11-11,103700.0,105774.0,105774.0,102663.0,WIN,2.0
2025-11-11,2025-11-12,2025-11-12,103000.0,101970.0,105060.0,101970.0,LOSS,-1.0
2025-11-17,2025-11-18,2025-11-18,99800.0,98802.0,101796.0,98802.0,LOSS,-1.0
2025-11-20,2025-11-21,2025-11-21,95600.0,94644.0,97512.0,94644.0,LOSS,-1.0
2025-11-24,2025-11-25,2025-11-25,101400.0,100386.0,103428.0,100386.0,LOSS,-1.0
2025-11-25,2025-11-26,2025-11-26,100500.0,102510.0,102510.0,99495.0,WIN,2.0
2025-11-26,2025-11-27,2025-11-27,104100.0,103059.0,106182.0,103059.0,LOSS,-1.0
2025-12-02,2025-12-03,2025-12-03,104700.0,104500.0,106794.0,103653.0,HOLD,-0.19
2025-12-03,2025-12-04,2025-12-04,103900.0,105100.0,105978.0,102861.0,HOLD,1.15
2025-12-05,2025-12-08,2025-12-08,109700.0,108603.0,111894.0,108603.0,LOSS,-1.0
2025-12-08,2025-12-09,2025-12-09,108900.0,107811.0,111078.0,107811.0,LOSS,-1.0
2025-12-12,2025-12-15,2025-12-15,105300.0,104800.0,107406.0,104247.0,HOLD,-0.47
2025-12-17,2025-12-18,2025-12-18,106400.0,107600.0,108528.0,105336.0,HOLD,1.13
